K,stage,active_losses,seed,valid_map_avg,sym2herb_map,herb2sym_map,symptom_pred_ppl_em_prob,herb_pred_ppl_em_prob,topic_coherence
25,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",45,0.25525557599709664,0.23994802849348176,0.2705631235007115,55.816361337100616,144.34232813873786,0.6837316195951817
25,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",46,0.25602030108827073,0.23521194377598356,0.2768286584005579,55.11259654743184,147.07987187967942,0.6437069249851233
25,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",42,0.2495357696907356,0.23572932273807817,0.263342216643393,56.07516067157986,145.2082620213948,0.6554336481081051
25,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",43,0.2471714971883065,0.23609742753987709,0.2582455668367359,55.845295030304335,142.0252933555542,0.6674209147917
25,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",44,0.2291080783784306,0.2144119220178304,0.24380423473903085,59.16817596230073,147.06461320067132,0.6677414496997234
25,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",45,0.259829473211637,0.23934931308831378,0.2803096333349603,55.826533823576845,144.8684395491215,0.6626099247863897
25,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",46,0.2381528353716897,0.21666702435385296,0.25963864638952644,55.144220943658816,146.56504028008408,0.6404605714880014
25,03_active_graph_h__graph_s,"graph_h,graph_s",42,0.2579241593112064,0.23720879838932224,0.2786395202330905,56.24063125787273,145.06725760299418,0.6811543066275441
25,03_active_graph_h__graph_s,"graph_h,graph_s",43,0.2528031323130041,0.23678760672562468,0.2688186579003835,55.66542939629233,142.1048758336038,0.6937148834800149
25,03_active_graph_h__graph_s,"graph_h,graph_s",44,0.24644912345902492,0.22936709747375159,0.2635311494442983,58.971156912752164,145.7653140296393,0.7031139657214203
25,03_active_graph_h__graph_s,"graph_h,graph_s",45,0.24311169035652325,0.23852633464407158,0.24769704606897494,55.81988475480286,142.47636683402627,0.6652171704778448
25,03_active_graph_h__graph_s,"graph_h,graph_s",46,0.25845531425991175,0.23645035483909155,0.2804602736807319,54.77943711308701,146.47770120046926,0.6677037501958591
25,04_active_graph_h,graph_h,42,0.20609593397722986,0.16951159774873542,0.24268027020572433,57.61675680962202,154.43771174580695,0.6404241487683205
25,04_active_graph_h,graph_h,43,0.21533068660619126,0.19851437942849223,0.2321469937838903,56.883838891395634,148.32944137746372,0.640120776742757
25,04_active_graph_h,graph_h,44,0.23840280101386074,0.20504449613302714,0.2717611058946943,60.022699470974544,149.22647129789266,0.6399325324509159
25,04_active_graph_h,graph_h,45,0.24936543172599468,0.2299294326863499,0.26880143076563945,56.20087960883239,144.35666876756346,0.6687857953413249
25,04_active_graph_h,graph_h,46,0.24563869180751208,0.2059571329897083,0.28532025062531585,56.23213196078972,150.11801984618072,0.6700955127683634
25,05_recon_only_ph_ps_nonneg,recon_only,42,0.2578754559525989,0.24122538394118118,0.27452552796401664,60.52727926380625,149.71219085829435,0.6356565063657287
25,05_recon_only_ph_ps_nonneg,recon_only,43,0.2593163095659865,0.24134321489888064,0.27728940423309234,60.201527305871366,146.5282162096138,0.630858133430872
25,05_recon_only_ph_ps_nonneg,recon_only,44,0.2519135131903245,0.2369377931451086,0.26688923323554037,62.93233685060352,150.20925392886207,0.6558022549765492
25,05_recon_only_ph_ps_nonneg,recon_only,45,0.2615804159733091,0.2477925645667161,0.2753682673799021,59.82962459806082,147.89981397672761,0.6219202952818823
25,05_recon_only_ph_ps_nonneg,recon_only,46,0.2588754294297695,0.23834295831374228,0.27940790054579673,59.22626656107111,151.45938431481898,0.6348771628930543
30,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",42,0.25229798577664886,0.23052114886674874,0.27407482268654904,54.32297657690329,142.96559780330202,0.6705513296446394
30,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",43,0.25458666960009163,0.2402114437100352,0.2689618954901481,54.45104716197521,140.46458429916007,0.6757525073634942
30,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",44,0.25014862017513345,0.2352061033592074,0.2650911369910595,57.45507593021013,143.7060356156237,0.6597295275867221
30,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",45,0.25255293869944556,0.2411670593814985,0.26393881801739266,54.87826527547556,142.59694439094173,0.7021558090736606
30,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",46,0.2468922236230294,0.23049944081773466,0.26328500642832414,53.56205010706765,145.61398774186324,0.6702780338036547
30,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",42,0.2519243689309205,0.22915503853651065,0.27469369932533033,54.46071952214179,143.50081396165066,0.6705925535581876
30,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",43,0.24918117776329962,0.23981833365130154,0.2585440218752977,54.61455852661972,140.3007692756454,0.6726792569550212
30,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",44,0.2415267375201986,0.2261296681339878,0.2569238069064094,57.60207801591902,143.81159453923397,0.6679292394701523
30,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",45,0.2547980069370827,0.24292723165541732,0.2666687822187481,54.86929453689672,142.77939049079762,0.6907175391049873
